ZEN, 1.3, 93.7
ZGNX, 1.2, 47.35
YETI, 1.3, 33.96
XPO, 1.4, 55.02
XLRN, 1.4, 40.56
WY, 1.3, 25.81
WTTR, 1.4, 10.87
WTFC, 1.3, 71.17
WPX, 1.1, 11.1
WNS, 1.2, 58.96
WMGI, 1.2, 26.55
WMB, 1.3, 28.71
WHD, 1.1, 31.47
WES, 1.5, 31.48
WCN, 1.2, 96.58
WCG, 1.3, 286.76
WAL, 1, 43.94
VYGR, 1.4, 25.67
VNOM, 1.1, 31.11
VKTX, 1, 8.15
VICI, 1.5, 22.08
VET, 1.5, 21.73
V, 1.1, 180.74
UNH, 1.2, 261.16
ULTA, 1.4, 346.98
TYL, 1.4, 226.53
TWLO, 1.2, 144.26
TVTY, 1, 16.16
TTWO, 1.3, 116.53
TTI, 1.5, 1.75
TS, 1.5, 27.53
TRUP, 1.3, 34.46
TRU, 1.5, 74.98
TRHC, 1.5, 54.03
TOCA, 1.3, 5.78
TMUS, 1.4, 78.26
TMO, 1.2, 295.55
TFX, 1.5, 335.98
TENB, 1.2, 30.63
TECK, 1.3, 21.56
TDOC, 1.1, 71.1
SYNH, 1.4, 48.58
SYBX, 1, 8.06
SWK, 1.4, 144
SUM, 1.4, 18.55
STLD, 1.4, 29.33
SSTI, 1.4, 42.41
SSNC, 1.4, 58.39
SRPT, 1.2, 154.24
SRCI, 1.4, 4.33
SPSC, 1.5, 102.84
SOI, 1.2, 14.05
SNPS, 1.4, 136.44
SMAR, 1.3, 52.99
SIVB, 1.4, 217.07
SCPL, 1.4, 12.25
SAVE, 1.5, 52.22
SALT, 1.5, 6.15
SAGE, 1.4, 189.62
SAIC, 1.5, 86.51
RVNC, 1.5, 12.24
RTN, 1.4, 178.08
RPD, 1.3, 62.71
RNG, 1.4, 122.37
REI, 1.4, 3.27
REG, 1.4, 68.6
RCL, 1.4, 110.4
RARE, 1.2, 58.68
QURE, 1, 68.65
PYPL, 1.5, 120.65
PXD, 1.2, 144.86
PWR, 1.5, 37.43
PVH, 1.5, 88.24
PUMP, 1.2, 19.7
PTEN, 1.5, 11.56
PS, 1.4, 31.83
PRTK, 1.3, 3.76
PLNT, 1.3, 76.67
PLD, 1.5, 81.02
PLAY, 1.1, 40.1
PFPT, 1.4, 123.89
PENN, 1.1, 17.86
PEG, 1.4, 60.36
PE, 1.2, 18.4
PDCE, 1.5, 31.1
PBA, 1.5, 38.45
PANW, 1.4, 217.66
PAGP, 1.3, 25.33
PAA, 1.3, 24.74
OLN, 1.5, 20.66
NVTA, 1.3, 23.02
NUE, 1.4, 54.1
NTR, 1.5, 50.05
NTLA, 1.5, 16.51
NTES, 1.5, 263.39
NOW, 1.4, 302.31
NMIH, 1.4, 28.26
NKTR, 1.4, 33.53
NEWR, 1.5, 95.78
NEE, 1.4, 210.4
NCLH, 1.2, 49.62
NBL, 1.4, 22.28
NBIX, 1.3, 85.95
MYOK, 1.1, 50.2
MTZ, 1.2, 50.87
MSFT, 1.1, 138.4
MRVL, 1.4, 24.89
MRO, 1.4, 13.65
MRNA, 1.2, 14.44
MRK, 1.4, 81
MPLX, 1.4, 32.37
MPC, 1.2, 55.44
MKSI, 1, 77.42
MIME, 1.4, 48.22
MGY, 1.3, 10.87
MGNX, 1.4, 15.79
MDLZ, 1.5, 54.63
MDCO, 1, 38.44
MCD, 1.5, 212.69
MAS, 1.3, 38.12
MA, 1.1, 278.32
LYV, 1.5, 69.88
LPSN, 1.1, 29.49
LNG, 1.2, 69.06
LMT, 1.5, 368.23
LKQ, 1.3, 26.24
LITE, 1.1, 53.02
LHCG, 1.5, 124.78
LEN, 1.4, 47.64
LBRT, 1.5, 14.96
LAD, 1.4, 119.16
KTOS, 1.4, 24.01
KOS, 1.5, 5.8
KMX, 1.4, 88.77
KAR, 1.5, 24.68
JEC, 1.4, 84.05
JAZZ, 1.4, 138.23
ITT, 1.4, 63.42
ITRI, 1.4, 61.07
ISRG, 1.4, 536
IR, 1.4, 124.55
IQV, 1.5, 159.24
IOVA, 1, 23.93
INVH, 1.5, 27.83
INXN, 1.5, 77.23
INSM, 1.3, 23.28
IMMU, 1.5, 14.15
ILMN, 1.4, 363.66
ICE, 1.5, 91.73
IBKC, 1.4, 76.26
HZO, 1.4, 16.9
IAC, 1.3, 230.34
HZNP, 1.5, 23.58
HUM, 1.5, 280.19
HRTX, 1.1, 18.31
HQY, 1.5, 68.65
HON, 1.4, 174.54
HOME, 1.3, 6.57
HMSY, 1.4, 33.73
HEXO, 1.5, 5.15
